2024-12-28 18:01:13,690 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:01:13,690 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:01:47,423 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:01:47,429 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:01:47,430 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:02:22,551 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:02:22,558 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:02:22,559 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:02:43,561 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:02:44,691 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:02:44,692 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:02:56,685 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:02:57,764 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:02:57,774 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:05:41,329 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:05:41,331 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:05:41,331 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:06:52,691 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:06:56,733 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2024-12-28 18:06:56,734 INFO    MainThread:130 [wandb_init.py:_pause_backend():439] pausing backend
2024-12-28 18:07:08,320 INFO    MainThread:130 [wandb_init.py:_resume_backend():444] resuming backend
2024-12-28 18:07:08,327 INFO    MainThread:130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
